"STRING_id","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B","Second.Trimester.Average","Term.Average","on_graph","cluster","boyan","is_local_max","updown","btw","cluster_max_btw","is_secreted"
"9606.ENSP00000225831","CCL2",6347,"C-C motif chemokine ligand 2",-1.27305112781309,7.21425645464474,-4.56351693125746,2.21114832577075e-05,0.000134304102133245,1.98118264967908,8.30828476760911,7.03523363979602,1,1,146,FALSE,"red",506.239513141491,"",FALSE
"9606.ENSP00000225844","CCL13",6357,"C-C motif chemokine ligand 13",-1.29340816109611,6.04362338695162,-5.29046796832836,1.45101059173296e-06,1.22185351494766e-05,4.62418966298629,7.15514602539359,5.86173786429748,1,1,77,FALSE,"red",57.6014284464356,"",FALSE
"9606.ENSP00000226067","HLF",3131,"HLF transcription factor, PAR bZIP family member",1.50473682616645,5.73463840081638,7.89782962178049,3.71982378900562e-11,9.54163415909089e-10,15.0178976071068,4.44150519082959,5.94624201699604,1,1,14,FALSE,"green",278.614405623166,"",FALSE
"9606.ENSP00000226218","VTN",7448,"vitronectin",-2.21188917705608,6.23532128699952,-14.9888598121289,4.5815780905972e-23,2.82920931498249e-20,42.1393934501632,8.13616354853209,5.92427437147601,1,1,87,FALSE,"red",1645.15711139747,"",FALSE
"9606.ENSP00000226230","TMEM97",27346,"transmembrane protein 97",-1.50040383657424,6.60956444937205,-13.9796694082422,1.59432734119113e-21,6.64555493991992e-19,38.6400040034616,7.89897399642804,6.39857015985379,1,2,6,FALSE,"red",9.47787300490801,"",FALSE
"9606.ENSP00000226317","CXCL6",6372,"C-X-C motif chemokine ligand 6",-1.32540322321309,4.29889941984766,-5.67130315055591,3.28960992976058e-07,3.27448754381482e-06,6.073150009392,5.43791781479641,4.11251459158332,1,1,75,FALSE,"red",3.01069191271387,"",FALSE
"9606.ENSP00000227667","APOC3",345,"apolipoprotein C3",-1.06801658470236,4.56931815638173,-6.2109653438827,3.82094366027273e-08,4.77202948672114e-07,8.18296587631112,5.48714490886032,4.41912832415796,1,1,63,FALSE,"red",483.570016407592,"",FALSE
"9606.ENSP00000229266","CHPT1",56994,"choline phosphotransferase 1",-1.04416109648766,6.93308525276869,-9.78232097158049,1.58141773613373e-14,9.09206134984745e-13,22.7014197703592,7.83041119506277,6.78625009857512,1,1,6,FALSE,"red",14.7071626420426,"",FALSE
"9606.ENSP00000229922","CAP2",10486,"cyclase associated actin cytoskeleton regulatory protein 2",1.4325252485789,8.23120748927641,6.36398619423033,2.05775258507794e-08,2.7381411692741e-07,8.79086838780753,7.00013110377891,8.43265635235782,1,5,11,FALSE,"green",2614.80210104114,"",FALSE
"9606.ENSP00000230658","ISL1",3670,"ISL LIM homeobox 1",-1.16510755610324,6.69682424649464,-6.62307012364817,7.16817635972782e-09,1.05206870110688e-07,9.8278916129917,7.69808855252086,6.53298099641762,1,5,148,FALSE,"red",191.621743558119,"",FALSE
"9606.ENSP00000231004","LOX",4015,"lysyl oxidase",-1.02608174833147,5.1983814840844,-3.25945100500192,0.00175698493905617,0.0061666887068898,-2.18488911092471,6.08017048655676,5.05408873822529,1,5,33,FALSE,"red",1692.1382246177,"",FALSE
